Index,GPS time,EKF Temp,EKF Tick,EKF Raw Z Gyro,EKF Raw X Gyro,EKF Raw Y Gyro,EKF Raw X Accel,EKF Raw Y Accel,EKF Raw Z Accel,EKF Tick SF,EKF Gyro SF,EKF Gyro Bias,EKF Tick SF Calib,EKF Gyro SF Calib,EKF Gyro B Calib
77,2018:522638.000,32.25,,-3.82,2.27,4.23,-9.26,-2.95,2.90,,,,,,
78,,32.25,,-0.26,4.24,0.01,-9.30,-2.95,2.84,,,,,,
79,,32.24,,0.79,3.82,-3.94,-9.09,-3.01,2.64,,,,,,
80,,32.24,,-2.49,1.91,3.77,-9.57,-3.06,3.08,,,,,,
81,2018:522639.000,32.25,,-4.60,2.27,4.50,-9.14,-2.99,2.91,,,,,,
82,2018:522639.000,,,,,,,,,,,,,,
83,2018:522639.000,32.24,,-0.32,0.61,-0.08,-9.30,-3.11,3.03,,,,,,
84,,32.22,,-1.67,-0.37,3.48,-9.50,-3.32,3.21,,,,,,
85,,32.25,,1.40,-0.13,-1.51,-9.02,-3.18,3.05,,,,,,
86,,32.24,,-3.96,-2.66,6.07,-9.49,-3.09,3.34,,,,,,
87,,32.25,,-1.50,-2.54,1.31,-9.06,-3.59,3.27,,,,,,
88,,32.23,,1.21,-0.42,-0.37,-9.65,-3.65,3.50,,,,,,
89,2018:522640.000,32.26,,-3.83,-1.57,3.43,-8.93,-3.24,3.39,,,,,,
90,2018:522640.000,,,,,,,,,,,,,,
91,2018:522640.000,32.25,,7.03,-1.26,-8.26,-9.47,-3.64,3.22,,,,,,
92,,32.25,,-3.79,-1.35,4.81,-9.14,-3.44,3.35,,,,,,
93,,32.26,,1.38,-1.65,-1.35,-9.20,-3.50,3.38,,,,,,
94,,32.25,,0.07,-2.50,-1.97,-8.97,-3.30,3.19,,,,,,
95,,32.24,,0.68,-2.50,-1.32,-8.88,-3.60,3.29,,,,,,
96,2018:522641.000,,,,,,,,,,,,,,
97,2018:522641.000,,,,,,,,,,,,,,
98,,32.24,,0.27,-2.59,-1.14,-9.57,-3.40,3.54,,,,,,
99,,32.25,,2.21,-0.52,-0.22,-9.14,-3.46,3.46,,,,,,
100,,32.24,,-6.43,-0.68,4.60,-9.15,-3.11,3.22,,,,,,
101,,32.25,,0.22,-2.87,2.39,-9.40,-3.23,3.49,,,,,,
102,,32.25,,8.03,0.97,-3.99,-9.63,-3.73,3.33,,,,,,
103,,32.24,,-2.00,-2.46,2.89,-8.74,-3.18,3.10,,,,,,
104,2018:522642.000,,,,,,,,,,,,,,
105,2018:522642.000,,,,,,,,,,,,,,
106,,32.25,,3.10,-2.37,-3.01,-8.82,-3.65,3.21,,,,,,
